,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,25,50,10,0.9743589743589743,0.9583333333333334,1.0,0.9787234042553191
1,1,25,50,10,0.9230769230769231,0.9565217391304348,0.9166666666666666,0.9361702127659575
2,2,25,50,10,0.9743589743589743,0.9642857142857143,1.0,0.9818181818181818
3,3,25,50,10,0.9743589743589743,1.0,0.95,0.9743589743589743
4,4,25,50,10,0.9743589743589743,0.9655172413793104,1.0,0.9824561403508771
5,5,25,50,10,1.0,1.0,1.0,1.0
6,6,25,50,10,1.0,1.0,1.0,1.0
7,7,25,50,10,1.0,1.0,1.0,1.0
8,8,25,50,10,1.0,1.0,1.0,1.0
9,9,25,50,10,1.0,0.0,0.0,0.0
